Character,Line,text_lemmatized,Season,Episode_Number,Dominant,compound,neg,neu,pos
Dwight, [singing] Shall I play for you? Pa rum pump um pum [Imitates heavy drumming] I have no gifts for you. Pa rum pump um pum [Imitates heavy drumming]  ,"['sing', 'shall', 'play', 'pa', 'rum', 'pump', 'pum', 'imitates', 'heavy', 'drum', 'gift', 'pa', 'rum', 'pump', 'pum', 'imitates', 'heavy', 'drum']",1,1,Topic 31,0.0516,0.072,0.85,0.078
Jim," My job is to speak to clients on the phone about… uh, quantities and type of copier paper. You know, whether we can supply it to them. Whether they can pay for it. And… I’m boring myself just talking about this.  ","['job', 'speak', 'client', 'phone', 'quantity', 'type', 'copier', 'paper', 'know', 'supply', 'pay', 'boring', 'talk']",1,1,Topic 20,-0.4019,0.087,0.913,0.0
Jim, Whassup! I still love that after seven years.,"['whassup', 'love', 'seven', 'year']",1,1,Topic 6,0.6696,0.0,0.609,0.391
Michael, OK. All right. See you later.,['later'],1,1,Topic 1,0.0,0.0,1.0,0.0
Michael," Corporate really doesn’t really interfere with me at all. Jan Levinson Gould. [walking out of his office] Jan, hello.  I call her Hillary Rodham Clinton. Right? Not to her face, because… well, not because I’m scared of her. Because I’m not. But, um… Yeah.  ","['corporate', 'interfere', 'jan', 'levinson', 'gould', 'walk', 'office', 'jan', 'hillary', 'rodham', 'clinton', 'face', 'scar']",1,1,Topic 19,-0.0204,0.05,0.88,0.07
Michael, Really? I didn’t… [looks at Pam] Did we get a fax this morning?,"['look', 'pam', 'fax', 'morning']",1,1,Topic 1,0.0,0.0,1.0,0.0
Michael," Why isn’t it in my hand? A company runs on efficiency of communication, right? So what’s the problem, Pam? Why didn’t I get it?","['hand', 'company', 'run', 'efficiency', 'communication', 'problem', 'pam']",1,1,Topic 20,0.5714,0.097,0.686,0.217
Pam, You put in the garbage can that was a special filing cabinet.,"['garbage', 'special', 'filing', 'cabinet']",1,1,Topic 8,0.4019,0.0,0.803,0.197
Michael," Yeah, that was a joke. That was a joke that was actually my brother’s, and… It was supposed to be with bills and it doesn’t work great with faxes.","['joke', 'joke', 'actually', 'brother', 'suppose', 'bill', 'work', 'great', 'fax']",1,1,Topic 2,0.8658,0.0,0.7,0.3
Michael," Yeah, yeah. Lovely. Thank you.","['lovely', 'thank']",1,1,Topic 3,0.8658,0.0,0.085,0.915
Michael," No, no, no, no, this is good. This is good. This is fine. Excellent.","['fine', 'excellent']",1,1,Topic 10,0.8834,0.0,0.469,0.531
Michael, All the alarm bells are kind of going… ringie-dingie-ding!,"['alarm', 'bell', 'kind', 'go', 'ringiedingieding']",1,1,Topic 13,-0.4003,0.252,0.748,0.0
Michael," Me no wanna hear that, Jan. Because downsizing is a bitch. It is a real bitch. And I wouldn’t wish that on Josh’s men. I certainly wouldn’t wish it on my men. Or women, present company excluded. Sorry. Uh, is Josh concerned about downsizing himself? Not downsizing himself but is he concerned about downsizing?  ","['wan', 'hear', 'jan', 'downsize', 'bitch', 'real', 'bitch', 'wish', 'joshs', 'men', 'certainly', 'wish', 'men', 'woman', 'present', 'company', 'exclude', 'sorry', 'josh', 'concerned', 'downsize', 'downsize', 'concerned', 'downsize']",1,1,Topic 48,-0.4956,0.158,0.754,0.089
Michael,"  Question. How long do we have to… [Telephone rings] Oh uh, Todd Packer, terrific rep. Do you mind if I take it?","['question', 'long', 'telephone', 'ring', 'todd', 'packer', 'terrific', 'rep', 'mind']",1,1,Topic 14,0.4767,0.0,0.871,0.129
Michael," Uh, I don’t know what you mean.","['know', 'mean']",1,1,Topic 1,0.0,0.0,1.0,0.0
Michael," Oh, my God! Oh! That’s… horrifying. Horrible. Horrible person.","['god', 'horrify', 'horrible', 'horrible', 'person']",1,1,Topic 12,-0.8802,0.614,0.272,0.114
Michael," No, absolutely. Under this regime, it will not leave this office. [zips his lips] Like that.  ","['absolutely', 'regime', 'leave', 'office', 'zip', 'lip']",1,1,Topic 40,0.3915,0.0,0.793,0.207
Angela, I bet it’s gonna be me. Probably gonna be me.,"['bet', 'probably']",1,1,Topic 2,0.0,0.0,1.0,0.0
Pam, Are you going to Angela’s cat party on Sunday?,"['go', 'angelas', 'cat', 'party', 'sunday']",1,1,Topic 25,0.4019,0.0,0.748,0.252
Michael," Am I going to tell them? No, I am not going to tell them. I don’t see the point of that. As a doctor, you would not tell a patient if they had cancer.  ","['go', 'tell', 'go', 'tell', 'point', 'doctor', 'tell', 'patient', 'cancer']",1,1,Topic 9,-0.6597,0.118,0.882,0.0
Michael," Howard, like Moe Howard. Three Stooges.","['howard', 'moe', 'howard', 'stooge']",1,1,Topic 43,0.3612,0.0,0.667,0.333
Michael," Watch this. This is Moe. Nyuck-nyuck-nyuck-nyuck-nyuck. Mee! [hold hand up for a high five] Ah, right here. Three Stooges. Oh, Pam. It’s a guy thing, Pam. I’m sort of a student of comedy. Watch this. Here we go. [Yelling in cod German] I’m Hitler. Adolf Hitler. [Continues with cod German]  ","['watch', 'moe', 'nyucknyucknyucknyucknyuck', 'mee', 'hold', 'hand', 'high', 'stooge', 'pam', 'guy', 'pam', 'sort', 'student', 'comedy', 'watch', 'yell', 'cod', 'german', 'hitler', 'adolf', 'hitler', 'continue', 'cod', 'german']",1,1,Topic 22,0.7177,0.0,0.889,0.111
Pam," I don’t think it would be the worst thing if they let me go because then I might… I don’t think it’s many little girls’ dream to be a receptionist. I like to do illustrations. Um… Mostly watercolor. A few oil pencil. Um, Jim thinks they’re good.","['bad', 'little', 'girl', 'dream', 'receptionist', 'illustration', 'watercolor', 'oil', 'pencil', 'jim', 'think']",1,1,Topic 1,0.2551,0.076,0.793,0.131
Jim," Sure. Mr. Davis, let me call you right back. Yeah, something just came up. Two minutes. Thank you very much. Dwight, what are you doing?","['sure', 'davis', 'come', 'minute', 'thank', 'dwight']",1,1,Topic 12,0.7184,0.0,0.759,0.241
Dwight, Just clearing my desk. I can’t concentrate.,"['clearing', 'desk', 'concentrate']",1,1,Topic 39,0.0,0.0,1.0,0.0
Dwight," It’s overlapping. It’s all spilling over the edge. One word, two syllables. Demarcation.","['overlap', 'spill', 'edge', 'word', 'syllable', 'demarcation']",1,1,Topic 36,0.0,0.0,1.0,0.0
Dwight, Safety violation. I could fall and pierce an organ.,"['safety', 'violation', 'fall', 'pierce', 'organ']",1,1,Topic 17,-0.1027,0.246,0.538,0.215
Jim, [crosses fingers] We’ll see. [Dwight begins smashing pencils with his phone] This is why the whole downsizing thing just doesn’t bother me.,"['cross', 'finger', 'dwight', 'begin', 'smash', 'pencil', 'phone', 'downsize', 'bother']",1,1,Topic 50,-0.34,0.103,0.897,0.0
Dwight," Downsizing? I have no problem with that. I have been recommending downsizing since I first got here. I even brought it up in my interview. I say, bring it on.  ","['downsize', 'problem', 'recommend', 'downsize', 'brought', 'interview', 'bring']",1,1,Topic 48,0.3089,0.0,0.928,0.072
Michael," Relax. Everything’s under control. Uh, yeah. Yeah. That’s important. Right. Oh this is so important, I should run to answer it. [Imitating Six-Million Dollar Man sound effect]","['relax', 'everythings', 'control', 'important', 'important', 'run', 'answer', 'imitate', 'sixmillion', 'dollar', 'man', 'sound', 'effect']",1,1,Topic 3,0.8579,0.0,0.657,0.343
Michael," Come on. Six-Million Dollar Man! Steve Austin! Actually, that would be a good salary for me, don’t you think? Six million dollars? Memo to Jan. I deserve a raise.","['sixmillion', 'dollar', 'man', 'steve', 'austin', 'actually', 'salary', 'million', 'dollar', 'memo', 'jan', 'deserve', 'raise']",1,1,Topic 20,0.5919,0.0,0.879,0.121
Michael,"  If you’re unhappy with your compensation, maybe you should take it up with HR. OK. Not today, OK? Pam, just be professional. [Sighs]  ","['unhappy', 'compensation', 'maybe', 'hr', 'today', 'pam', 'professional', 'sigh']",1,1,Topic 33,-0.4215,0.113,0.887,0.0
Michael," I think I’m a role model here. I think I garner people’s respect. [Imitating a PA] Attention all Dunder Mifflin employees, please. We have a meeting in the conference room, ASAP.  ","['role', 'model', 'garner', 'people', 'respect', 'imitate', 'pa', 'attention', 'dunder', 'mifflin', 'employee', 'meeting', 'conference', 'room', 'asap']",1,1,Topic 3,0.6597,0.0,0.843,0.157
Michael," People I respect, heroes of mine, would be Bob Hope… Abraham Lincoln, definitely. Bono. And probably God would be the fourth one. And I just think all those people really helped the world in so many ways that it’s really beyond words. It’s really incalculable.  ","['people', 'respect', 'hero', 'bob', 'hope', 'abraham', 'lincoln', 'definitely', 'bono', 'probably', 'god', 'fourth', 'people', 'help', 'world', 'way', 'word', 'incalculable']",1,1,Topic 4,0.8807,0.0,0.785,0.215
Michael, Now I know there’s some rumors out there and I just kind of want to set the record straight.,"['know', 'there', 'rumor', 'kind', 'want', 'set', 'record', 'straight']",1,1,Topic 6,0.228,0.0,0.854,0.146
Dwight, I’m Assistant Regional Manager. I should know first.,"['assistant', 'regional', 'manager', 'know']",1,1,Topic 24,0.0,0.0,1.0,0.0
Dwight," OK, um, can you just tell me please? Just tell me quietly. Can you whisper it in my ear?","['tell', 'tell', 'quietly', 'whisper', 'ear']",1,1,Topic 14,0.3939,0.0,0.871,0.129
Michael, I’m about to tell everybody. I’m just about to tell everybody.,"['tell', 'everybody', 'tell', 'everybody']",1,1,Topic 1,0.0,0.0,1.0,0.0
Dwight," Please, OK? Do you want me to tell ’em?","['want', 'tell', 'em']",1,1,Topic 30,0.4515,0.0,0.639,0.361
Michael, You don’t know what it is. [Laughs],"['know', 'laugh']",1,1,Topic 32,0.4939,0.0,0.652,0.348
Dwight, OK. You tell ’em. With my permission. Permission granted.,"['tell', 'em', 'permission', 'permission', 'grant']",1,1,Topic 33,0.25,0.0,0.8,0.2
Michael, Corporate has deemed it appropriate to enforce an ultimatum upon me. And Jan is thinking about downsizing either the Stamford branch or this branch.  ,"['corporate', 'deem', 'appropriate', 'enforce', 'ultimatum', 'jan', 'think', 'downsize', 'stamford', 'branch', 'branch']",1,1,Topic 48,0.0,0.0,1.0,0.0
Michael," It won’t be out of my hands Stanley, OK. I promise you that.","['hand', 'stanley', 'promise']",1,1,Topic 15,0.3182,0.0,0.839,0.161
Michael,"  Well, yeah, it is a promise. And frankly, I’m a little insulted that you have to keep asking about it.","['promise', 'frankly', 'little', 'insult', 'ask']",1,1,Topic 15,0.3804,0.117,0.625,0.258
Michael," I know. Hold on a second. I think Pam wanted to say something. Pam, you had a look that you wanted to ask a question just then.","['know', 'hold', 'second', 'pam', 'want', 'pam', 'look', 'want', 'ask', 'question']",1,1,Topic 1,0.0,0.0,1.0,0.0
Pam, I was in the meeting with Jan and she did say that it could be this branch that gets the axe.,"['meeting', 'jan', 'branch', 'get', 'axe']",1,1,Topic 1,-0.1027,0.065,0.935,0.0
Michael," Well, Pam maybe you should stick to the ongoing confidentiality agreement of meetings.","['pam', 'maybe', 'stick', 'ongoing', 'confidentiality', 'agreement', 'meeting']",1,1,Topic 1,0.6486,0.0,0.675,0.325
Michael," No, Stanley. No, you did not see me in there with her. I said if Corporate wants to come in here and interfere, then they’re gonna have to go through me. Right? You can go mess with Josh’s people, but I’m the head of this family, and you ain’t gonna be messing with my chillin.  ","['stanley', 'say', 'corporate', 'want', 'interfere', 'mess', 'joshs', 'people', 'head', 'family', 'aint', 'mess', 'chillin']",1,1,Topic 34,-0.1901,0.031,0.969,0.0
Jim," If I left, what would I do with all this useless information in my head? You know? Tonnage price of manila folders? Um, Pam’s favorite flavor of yogurt, which is mixed berry.  ","['left', 'useless', 'information', 'head', 'know', 'tonnage', 'price', 'manila', 'folder', 'pams', 'favorite', 'flavor', 'yogurt', 'mixed', 'berry']",1,1,Topic 45,-0.1999,0.103,0.815,0.082
Pam," Jim said mixed berries? Well, yeah, he’s on to me. Um… [Laughs]  ","['jim', 'say', 'mixed', 'berry', 'laugh']",1,1,Topic 14,0.7579,0.0,0.545,0.455
Michael," Watch out for this guy. Dwight Schrute in the building. This is Ryan, the new temp.","['watch', 'guy', 'dwight', 'schrute', 'building', 'ryan', 'new', 'temp']",1,1,Topic 12,0.0,0.0,1.0,0.0
Dwight," Dwight Schrute, Assistant Regional Manager.","['dwight', 'schrute', 'assistant', 'regional', 'manager']",1,1,Topic 24,0.0,0.0,1.0,0.0
Michael," Assistant to the Regional Manager. So, uh, Dwight tell him about the kung fu and the car and everything.","['assistant', 'regional', 'manager', 'dwight', 'tell', 'kung', 'fu', 'car']",1,1,Topic 24,-0.6908,0.207,0.793,0.0
Dwight," Uh… yeah I got a ’78 280Z. Bought it for $1,200. Fixed it up. It’s now worth three grand.","['z', 'bought', 'fix', 'worth', 'grand']",1,1,Topic 20,0.7269,0.0,0.693,0.307
Dwight," New engine, new suspension, I got a respray. I’ve got some photos.  ","['new', 'engine', 'new', 'suspension', 'respray', 'photo']",1,1,Topic 37,0.0,0.0,1.0,0.0
Michael," OK. Hold on, hold on. The judge is in session. What is the problem here?","['hold', 'hold', 'judge', 'session', 'problem']",1,1,Topic 6,-0.4019,0.162,0.838,0.0
Dwight, That’s real professional thanks. That’s the third time and it wasn’t funny the first two times either Jim.  ,"['real', 'professional', 'thanks', 'time', 'funny', 'time', 'jim']",1,1,Topic 2,0.7003,0.0,0.734,0.266
Dwight," It’s OK here, but people sometimes take advantage because it’s so relaxed. I’m a volunteer Sheriff’s Deputy on the weekends. And you cannot screw around there. That’s sort of one of the rules.  ","['people', 'advantage', 'relaxed', 'volunteer', 'sheriff', 'deputy', 'weekend', 'screw', 'sort', 'rule']",1,1,Topic 31,0.8906,0.0,0.715,0.285
Michael," No, no, no. Do not take it out. You have to eat it out of there, because there are starving people in the world [turns to camera] which I hate, and it is a waste of that kind of food.","['eat', 'starve', 'people', 'world', 'turn', 'camera', 'hate', 'waste', 'kind', 'food']",1,1,Topic 46,-0.8519,0.201,0.799,0.0
Dwight," OK you know what, you can be a witness. [points to Ryan] Can you reprimand him?","['know', 'witness', 'point', 'ryan', 'reprimand']",1,1,Topic 43,0.4466,0.0,0.836,0.164
Dwight, It’s always you. Are you going to discipline him or not?,"['go', 'discipline']",1,1,Topic 8,0.0,0.0,1.0,0.0
Michael," Discipline. Kinky! [Laughs] All right, here’s the deal you guys. The thing about a practical joke is you have to know when to start and as well as when to stop.","['discipline', 'kinky', 'laugh', 'here', 'deal', 'guy', 'practical', 'joke', 'know', 'start', 'stop']",1,1,Topic 2,0.68,0.059,0.73,0.211
Michael,"  And yeah, Jim this is the time to stop putting Dwight’s personal effects into Jell-O.","['jim', 'time', 'stop', 'put', 'dwights', 'personal', 'effect', 'jello']",1,1,Topic 41,0.0,0.126,0.747,0.126
Jim," OK. Dwight, I’m sorry, because I have always been your biggest flan.","['dwight', 'sorry', 'big', 'flan']",1,1,Topic 12,-0.0772,0.106,0.894,0.0
Michael, [Laughing] Nice. That’s the way it is around here. It just kind of goes round and round.,"['laugh', 'nice', 'way', 'kind', 'go', 'round', 'round']",1,1,Topic 30,0.7184,0.0,0.714,0.286
Michael, Hey! Yes! New guy! He scores.,"['new', 'guy', 'score']",1,1,Topic 44,0.5538,0.0,0.583,0.417
Dwight," OK, that’s great. I guess what I’m most concerned with is damage to company property. That’s all.","['great', 'guess', 'concerned', 'damage', 'company', 'property']",1,1,Topic 19,0.2263,0.143,0.673,0.184
Michael, Pudding. Pudding… I’m trying to think of another dessert to do.  ,"['pudding', 'pudding', 'try', 'dessert']",1,1,Topic 41,0.0,0.0,1.0,0.0
Jim, Do you like going out at the end of the week for a drink?,"['go', 'end', 'week', 'drink']",1,1,Topic 29,0.3612,0.0,0.839,0.161
Jim, That’s why we’re all going out. So we can have an end-of-the-week-drink.,"['go', 'endoftheweekdrink']",1,1,Topic 30,0.0,0.0,1.0,0.0
Pam, Roy’s my fiance. We’ve been engaged about three years. We were supposed to get married in September but I think we’re gonna get married in the spring.  ,"['roys', 'fiance', 'engage', 'year', 'suppose', 'married', 'september', 'married', 'spring']",1,1,Topic 16,0.2144,0.0,0.934,0.066
Pam, Do you mind if I go out for a drink with these guys?,"['mind', 'drink', 'guy']",1,1,Topic 22,0.0,0.0,1.0,0.0
Pam, OK. I’m gonna be a few minutes. So it’s only twenty past five. I still have to do my faxes.,"['minute', 'past', 'fax']",1,1,Topic 13,0.0,0.0,1.0,0.0
Jim, You know what? You should come with us. Because you know we’re all going out and it could be a good chance for you to see what people are like outside the office. I think it could be fun.,"['know', 'know', 'go', 'chance', 'people', 'outside', 'office', 'fun']",1,1,Topic 4,0.8658,0.0,0.766,0.234
Jim," No, definitely. All right, dude. Awesome. Will do.  ","['definitely', 'dude', 'awesome']",1,1,Topic 25,0.7783,0.0,0.469,0.531
Jim, Do I think I’ll be invited to the wedding? [scratches head]  ,"['invite', 'wedding', 'scratch', 'head']",1,1,Topic 1,0.0,0.0,1.0,0.0
Michael," So have you felt the vibe yet? We work hard, we play hard. Sometimes we play hard when we should be working hard. Right? I guess the atmosphere that I’ve created here is that I’m a friend first, and a boss second… and probably an entertainer third. [Knock at door] Just a second. Right? Oh, hey do you like The Jamie Kennedy Experiment? Punk’d and all that kind of stuff?","['felt', 'vibe', 'work', 'hard', 'play', 'hard', 'play', 'hard', 'work', 'hard', 'guess', 'atmosphere', 'create', 'friend', 'bos', 'second', 'probably', 'entertainer', 'knock', 'door', 'second', 'jamie', 'kennedy', 'experiment', 'punkd', 'kind', 'stuff']",1,1,Topic 18,0.9092,0.069,0.735,0.197
Michael," You are gonna be my accomplice. Just go along with it, OK?",['accomplice'],1,1,Topic 22,0.0,0.0,1.0,0.0
Michael," Just follow my lead. Don’t pimp me, all right? Come in. So, uh, Corporate just said that I don’t want to…","['follow', 'lead', 'pimp', 'corporate', 'say', 'want']",1,1,Topic 13,0.0772,0.0,0.939,0.061
Michael," Oh, thank you. Pam, can you come in here for a sec. Just have a seat. I was gonna call you in anyway. You know Ryan. As you know, there is going to be downsizing. And you have made my life so much easier in that I am going to have to let you go first.","['thank', 'pam', 'sec', 'seat', 'know', 'ryan', 'know', 'go', 'downsize', 'life', 'easy', 'go']",1,1,Topic 5,0.6786,0.0,0.906,0.094
Pam, Stealing? What am I supposed to have stolen?,"['steal', 'suppose', 'steal']",1,1,Topic 31,-0.8053,0.548,0.452,0.0
Pam," Post-it Notes? What are those worth, 50 cents?","['postit', 'note', 'worth', 'cent']",1,1,Topic 38,0.3094,0.0,0.756,0.244
Michael," 50 cents, yeah. If you steal a thousand Post-It Notes at 50 cents apiece, and you know,  you’ve made a profit… margin. You’re gonna run us out of business, Pam.","['cent', 'steal', 'thousand', 'postit', 'note', 'cent', 'apiece', 'know', 'profit', 'margin', 'run', 'business', 'pam']",1,1,Topic 13,-0.25,0.096,0.838,0.066
Pam, I can’t believe this. I mean I have never even stolen as much as a paperclip and you’re firing me.,"['believe', 'mean', 'steal', 'paperclip', 'fire']",1,1,Topic 24,0.0588,0.104,0.782,0.114
Michael, But the best thing about it is that we’re not going to have to give you any severance pay. Because that is gross misconduct and… Just clean out your desk. I’m sorry.,"['best', 'go', 'severance', 'pay', 'gross', 'misconduct', 'clean', 'desk', 'sorry']",1,1,Topic 29,0.631,0.165,0.62,0.215
Michael," [Pam starts crying] You been X’d punk! [Laughing] Surprise! It’s a joke. We were joking around. See? OK. He was in on it. He was my accomplice. And it was kind of a morale booster thing. And we were showing the new guy around, giving him the feel of the place. So you… God, we totally got you.","['pam', 'start', 'cry', 'xd', 'punk', 'laugh', 'surprise', 'joke', 'joking', 'accomplice', 'kind', 'morale', 'booster', 'show', 'new', 'guy', 'give', 'feel', 'place', 'god', 'totally']",1,1,Topic 11,0.8645,0.045,0.741,0.214
Michael," What is the most important thing for a company? Is it the cash flow? Is it the inventory? Nuh-uh. It’s the people. The people. My proudest moment here was not when I increased profits by 17% or when I cut expenses without losing a single employee. No, no, no, no, no. It was a young Guatemalan guy. First job in the country, barely spoke English. He came to me, and said, “Mr. Scott, would you be the godfather of my child?” Wow. Wow. Didn’t work out in the end. We had to let him go. He sucked.  ","['important', 'company', 'cash', 'flow', 'inventory', 'nuhuh', 'people', 'people', 'proudest', 'moment', 'increase', 'profit', 'cut', 'expense', 'lose', 'single', 'employee', 'young', 'guatemalan', 'guy', 'job', 'country', 'barely', 'spoke', 'english', 'come', 'say', 'scott', 'godfather', 'child', 'wow', 'wow', 'work', 'end', 'suck']",1,1,Topic 3,0.9249,0.061,0.77,0.169
Pam, Good. I thought you were going out for a drink with…,"['thought', 'go', 'drink']",1,1,Topic 30,0.4404,0.0,0.775,0.225
Jim," Oh no, I just decided not to. How’s your headache?","['decide', 'hows', 'headache']",1,1,Topic 27,0.0,0.0,1.0,0.0
Jim," Yes, I… Do you want to…",['want'],1,1,Topic 1,0.4588,0.0,0.5,0.5
Jim," [Car horn honking] Oh, Roy.","['car', 'horn', 'honk', 'roy']",1,1,Topic 17,0.0,0.0,1.0,0.0
Jim," Yeah, definitely. You too. Enjoy it. [looks at camera] You know what, just come here.  ","['definitely', 'enjoy', 'look', 'camera', 'know']",1,1,Topic 39,0.7964,0.0,0.597,0.403
Dwight," Dwight Schrute. My father’s name, also Dwight Schrute. My grandfather’s name, Dweide Schrude, Amish. That’s my family. I don’t know where they came, the Amish, came from originally. Uh, Amland.    ","['dwight', 'schrute', 'father', 'dwight', 'schrute', 'grandfather', 'dweide', 'schrude', 'amish', 'family', 'know', 'come', 'amish', 'come', 'originally', 'amland']",1,1,Topic 12,0.0,0.0,1.0,0.0
Michael, [holding up a Dundie and pretending it is talking] Hello. I’m Michael Scott. I’m the best boss in the world.    ,"['hold', 'dundie', 'pretend', 'talk', 'michael', 'scott', 'best', 'bos', 'world']",1,1,Topic 23,0.6808,0.0,0.763,0.237
Jim," My name is Jim Halpert and I am a sales rep, which is a very important job. Um, without me dozens literally dozens of small businesses would go paperless.  They would have to write on their hands, or bed sheets, or who knows you know. Total chaos, total chaos. I mean or they could get their paper somewhere else. Staples maybe. I don’t know.  ","['jim', 'halpert', 'sale', 'rep', 'important', 'job', 'dozen', 'literally', 'dozen', 'small', 'business', 'paperless', 'write', 'hand', 'bed', 'sheet', 'know', 'know', 'total', 'chaos', 'total', 'chaos', 'mean', 'paper', 'staple', 'maybe', 'know']",1,1,Topic 20,-0.7996,0.116,0.855,0.029
Michael," Pam! Pam-Pam! Pam has been with us for…  forever. Right, Pam?","['pam', 'pampam', 'pam', 'forever', 'pam']",1,1,Topic 1,0.0,0.0,1.0,0.0
Michael," Yeah, at one time or another every guy in the office has sprayed on Pam.","['time', 'guy', 'office', 'sprayed', 'pam']",1,1,Topic 44,0.296,0.0,0.864,0.136
Dwight," People respond to the human touch and that’s what I give them. I can look at a client and I can say, “Hello, how are you? How’s business been going?” And we can go back and forth for sometime and uh, then I’ll say, How much, how many reams do you want?” And they’ll order it and then I’ll take care of all the sales. I’ll make sure that they get that paper. And they appreciate that.  ","['people', 'respond', 'human', 'touch', 'look', 'client', 'hows', 'business', 'go', 'forth', 'ream', 'want', 'order', 'care', 'sale', 'sure', 'paper', 'appreciate']",1,1,Topic 46,0.829,0.0,0.894,0.106
Michael," Ah, right here. Three Stooges. High five. [Michael and Ryan high five] Oh, Pam. It’s a guy thing, Pam. [camera cuts to Pam then back to Michael] Now, who was the one before Curly?","['stooge', 'high', 'michael', 'ryan', 'high', 'pam', 'guy', 'pam', 'camera', 'cut', 'pam', 'michael', 'curly']",1,1,Topic 21,-0.296,0.062,0.937,0.0
Michael, Curly? Very good. Curly Joe DeRita.,"['curly', 'curly', 'joe', 'derita']",1,1,Topic 50,0.4927,0.0,0.61,0.39
Michael," Well, comedy’s kinda my thing. Watch this, here’s Curly Joe. Mmm. Me, me, me, me, me, me. Me, me, me, me, me, me. Oh, I forgot. Here we go. [Yelling in cod German] I’m Hitler. Right. [Continues with cod German] Me, me, me, me, me, me. Curly Joe Hitler. [laughs]  ","['comedy', 'kinda', 'watch', 'here', 'curly', 'joe', 'mmm', 'forgot', 'yell', 'cod', 'german', 'hitler', 'continue', 'cod', 'german', 'curly', 'joe', 'hitler', 'laugh']",1,1,Topic 22,0.6486,0.0,0.901,0.099
Michael," All these people are walking around and they’re happy and their lives are just going along, ignorance is bliss. But if they knew what was lurking on the other side of that fence that furry monster. [imitating monster] “I’m gonna get you, downsizing.” No. They wouldn’t… They’d freak. And I’m not going to play God. They look to me for support. And they look to me for guidance and leadership. And I think if I could lie to them and it serves them, then that’s what I’m going to do.  ","['people', 'walk', 'happy', 'life', 'go', 'ignorance', 'bliss', 'lurk', 'fence', 'furry', 'monster', 'imitate', 'monster', 'downsize', 'theyd', 'freak', 'go', 'play', 'god', 'look', 'support', 'look', 'guidance', 'leadership', 'lie', 'serf', 'go']",1,1,Topic 41,0.2491,0.096,0.798,0.106
